videoId	frameIndex	PDExtractorID	OFExtractorID	numBoxes	numChildRoIs	numParentRoIs	inferenceFrameSize	inferenceDevice	enqueueTime	fullInferenceStartTime	fullInferenceEndTime	pixelDiffRoIProcessStartTime	pixelDiffRoIProcessEndTime	opticalFlowRoIProcessStartTime	opticalFlowRoIProcessEndTime	resizeStartTime	resizeEndTime	mergeRoIStartTime	mergeRoIEndTime	mixingStartTime	mixingEndTime	mixedInferenceStartTime	mixedInferenceEndTime	reconstructStartTime	reconstructEndTime	endTime
0	1030	0	0	37	31	20	832	0	2453906	0	0	2455145	2457337	6945290	6950243	6950455	6950546	6950546	6950898	10875801	10886598	14737410	15948363	16005693	16008413	16016056
0	1031	1	0	35	34	21	832	0	2498037	0	0	2499353	2502493	6951569	6955519	6955678	6955784	6955784	6956100	10875801	10886598	14737410	15948363	16005693	16008413	16016065
0	1032	0	0	44	36	20	832	0	2525345	0	0	2527214	2531516	6956704	6961366	6961511	6961621	6961622	6961942	10875801	10886598	14737410	15948363	16005693	16008413	16016074
0	1033	0	0	39	36	20	832	0	2559754	0	0	2562077	2565427	6962525	6967482	6967632	6967748	6967748	6968071	10875801	10886598	14737410	15948363	16005693	16008413	16016083
0	1034	1	0	38	37	21	832	0	2598665	0	0	2600417	2602306	6968658	6973502	6973678	6973792	6973792	6974185	10875801	10886598	14737410	15948363	16005693	16008413	16016092
0	1035	1	0	37	38	21	832	0	2623166	0	0	2624400	2626605	6974824	6981065	6981204	6981307	6981307	6981686	10875801	10886598	14737410	15948363	16005693	16008413	16016102
0	1036	0	0	47	38	21	832	0	2658950	0	0	2663084	2666562	6982286	6987393	6987537	6987647	6987647	6988013	10875801	10886598	14737410	15948363	16005693	16008413	16016112
0	1037	1	0	42	38	21	832	0	2708175	0	0	2710250	2712924	6988599	6993750	6993921	6994029	6994029	6994457	10875801	10886598	14737410	15948363	16005693	16008413	16016122
0	1038	0	0	45	38	21	832	0	2742739	0	0	2745158	2747484	6995079	7004908	7005060	7005182	7005182	7005678	10875801	10886598	14737410	15948363	16005693	16008413	16016132
0	1039	1	0	44	39	21	832	0	2769554	0	0	2770633	2772404	7006305	7011603	7011765	7011872	7011873	7012227	10875801	10886598	14737410	15948363	16005693	16008413	16016142
0	1040	1	0	49	39	21	832	0	2794430	0	0	2801796	2804557	7012899	7018503	7018653	7018772	7018772	7019178	10875801	10886598	14737410	15948363	16005693	16008413	16016152
0	1041	1	0	35	39	21	832	0	2824979	10896878	12128584	2826149	2828278	7019829	7026839	7026983	7027097	7027097	7027454	10875801	10886598	0	0	0	0	16016162
0	1042	1	1	50	33	23	832	0	2842526	0	0	2843665	2845888	12140476	12151968	12152115	12152228	12152228	12152537	16029335	16041547	19804442	20998847	21054140	21056882	21063905
0	1043	1	1	42	35	23	832	0	2872508	0	0	2873545	2875913	12153498	12163910	12164068	12164202	12164202	12164557	16029335	16041547	19804442	20998847	21054140	21056882	21063914
0	1044	1	1	39	36	23	832	0	2890128	0	0	2892076	2898270	12165518	12175714	12175841	12175966	12175967	12176317	16029335	16041547	19804442	20998847	21054140	21056882	21063924
0	1045	0	1	40	36	23	832	0	2912706	0	0	2914776	2916806	12177101	12183664	12183792	12183901	12183902	12184188	16029335	16041547	19804442	20998847	21054140	21056882	21063934
0	1046	1	1	40	36	23	832	0	2930157	0	0	2931957	2934630	12184951	12192092	12192248	12192368	12192368	12192691	16029335	16041547	19804442	20998847	21054140	21056882	21063944
0	1047	0	1	43	38	24	832	0	2953528	0	0	2954469	2956266	12193493	12201095	12201221	12201334	12201334	12201688	16029335	16041547	19804442	20998847	21054140	21056882	21063954
0	1048	0	1	42	38	24	832	0	2986029	0	0	2987372	2989081	12202546	12211421	12211563	12211677	12211678	12212022	16029335	16041547	19804442	20998847	21054140	21056882	21063964
0	1049	0	1	42	38	24	832	0	3027200	0	0	3030109	3032717	12212823	12218442	12218584	12218692	12218693	12219038	16029335	16041547	19804442	20998847	21054140	21056882	21063974
0	1050	1	1	43	38	24	832	0	3064634	0	0	3066029	3069037	12219845	12225787	12225919	12226029	12226029	12226383	16029335	16041547	19804442	20998847	21054140	21056882	21063984
0	1051	0	1	46	38	24	832	0	3083473	0	0	3084970	3087124	12227192	12233875	12234016	12234127	12234128	12234496	16029335	16041547	19804442	20998847	21054140	21056882	21063994
0	1052	1	1	45	38	24	832	0	3110051	0	0	3111077	3112796	12235328	12241435	12241598	12241745	12241745	12242099	16029335	16041547	19804442	20998847	21054140	21056882	21064004
0	1053	1	1	35	38	24	832	0	3162343	16055051	17251796	3169228	3177457	12243006	12251235	12251387	12251498	12251498	12251839	16029335	16041547	0	0	0	0	21064014
0	1054	1	1	40	33	20	832	0	3202161	0	0	3203985	3206004	17286240	17297631	17297784	17297899	17297899	17298193	21075821	21086742	24860340	26065093	26107661	26109047	26115209
0	1055	1	0	38	35	21	832	0	3222249	0	0	3223430	3225457	17299242	17311982	17312148	17312271	17312272	17312605	21075821	21086742	24860340	26065093	26107661	26109047	26115218
0	1056	1	0	37	35	21	832	0	3237732	0	0	3238922	3241843	17313546	17318991	17319130	17319256	17319256	17319597	21075821	21086742	24860340	26065093	26107661	26109047	26115227
0	1057	1	0	43	35	21	832	0	3261233	0	0	3263414	3265743	17320532	17325936	17326081	17326193	17326194	17326559	21075821	21086742	24860340	26065093	26107661	26109047	26115236
0	1058	1	0	43	35	21	832	0	3283287	0	0	3284568	3287291	17327505	17332855	17333023	17333137	17333137	17333467	21075821	21086742	24860340	26065093	26107661	26109047	26115245
0	1059	1	0	34	35	21	832	0	3318222	0	0	3319613	3321997	17334447	17340767	17340886	17340984	17340984	17341265	21075821	21086742	24860340	26065093	26107661	26109047	26115255
0	1060	1	0	38	36	21	832	0	3341610	0	0	3342928	3347191	17342091	17347140	17347263	17347363	17347363	17347652	21075821	21086742	24860340	26065093	26107661	26109047	26115264
0	1061	0	0	36	36	21	832	0	3360422	0	0	3362673	3365223	17348467	17353629	17353753	17353860	17353861	17354149	21075821	21086742	24860340	26065093	26107661	26109047	26115273
0	1062	0	0	40	37	21	832	0	3394920	0	0	3397106	3401600	17354992	17359950	17360074	17360176	17360177	17360471	21075821	21086742	24860340	26065093	26107661	26109047	26115282
0	1063	1	0	38	38	22	832	0	3423190	0	0	3427562	3431088	17361285	17366420	17366551	17366660	17366660	17367017	21075821	21086742	24860340	26065093	26107661	26109047	26115292
0	1064	1	0	36	38	22	832	0	3463617	21092843	22288734	3466018	3468495	17367869	17373246	17373378	17373488	17373488	17373824	21075821	21086742	0	0	0	0	26115302
0	1065	1	1	39	34	19	832	0	3496344	0	0	3497558	3501354	22324556	22339765	22339966	22340116	22340116	22340458	26125354	26135725	29923723	31126913	31160221	31160945	31167583
0	1066	1	1	42	35	20	832	0	3515170	0	0	3517326	3519747	22341696	22348653	22348798	22348923	22348924	22349276	26125354	26135725	29923723	31126913	31160221	31160945	31167594
0	1067	1	1	46	37	20	832	0	3533595	0	0	3535196	3538027	22350297	22355520	22355677	22355800	22355800	22356251	26125354	26135725	29923723	31126913	31160221	31160945	31167604
0	1068	1	1	43	37	20	832	0	3560732	0	0	3562095	3564498	22357244	22362748	22362919	22363046	22363046	22363467	26125354	26135725	29923723	31126913	31160221	31160945	31167614
0	1069	0	1	47	37	20	832	0	3590269	0	0	3595728	3602591	22364482	22369926	22370078	22370195	22370196	22370658	26125354	26135725	29923723	31126913	31160221	31160945	31167623
0	1070	1	1	41	37	20	832	0	3614177	0	0	3616855	3618919	22371680	22377842	22377981	22378090	22378090	22378474	26125354	26135725	29923723	31126913	31160221	31160945	31167633
0	1071	0	1	43	38	20	832	0	3632947	0	0	3634618	3636615	22379355	22384612	22384756	22384859	22384859	22385202	26125354	26135725	29923723	31126913	31160221	31160945	31167643
0	1072	0	1	40	38	20	832	0	3656022	0	0	3657878	3660974	22386072	22391527	22391665	22391777	22391777	22392121	26125354	26135725	29923723	31126913	31160221	31160945	31167653
0	1073	0	1	47	38	20	832	0	3701074	0	0	3702474	3704939	22392984	22398411	22398545	22398650	22398650	22398991	26125354	26135725	29923723	31126913	31160221	31160945	31167663
0	1074	1	1	31	38	20	832	0	3726363	26141248	27336617	3729118	3732649	22399869	22405318	22405459	22405564	22405565	22405908	26125354	26135725	0	0	0	0	31167673
0	1075	1	0	30	25	21	832	0	3770320	0	0	3772100	3775125	27376664	27383956	27384063	27384161	27384161	27384337	31177416	31188191	34936698	36130821	36202739	36207348	36213664
0	1076	1	0	33	25	22	832	0	3804276	0	0	3805634	3808714	27385641	27390518	27390667	27390772	27390772	27390948	31177416	31188191	34936698	36130821	36202739	36207348	36213673
0	1077	1	0	40	30	22	832	0	3825008	0	0	3826492	3830100	27392405	27397156	27397447	27397538	27397538	27397758	31177416	31188191	34936698	36130821	36202739	36207348	36213684
0	1078	1	0	37	32	21	832	0	3846708	0	0	3848848	3851408	27399225	27404437	27404577	27404695	27404696	27404943	31177416	31188191	34936698	36130821	36202739	36207348	36213695
0	1079	0	0	36	33	22	832	0	3884332	0	0	3885403	3887156	27406157	27411541	27411683	27411800	27411800	27412085	31177416	31188191	34936698	36130821	36202739	36207348	36213705
0	1080	0	0	41	33	22	832	0	3900592	0	0	3901752	3904299	27413361	27419309	27419440	27419544	27419544	27419785	31177416	31188191	34936698	36130821	36202739	36207348	36213714
0	1081	0	0	37	33	22	832	0	3944767	0	0	3946148	3948417	27420873	27426125	27426243	27426364	27426364	27426609	31177416	31188191	34936698	36130821	36202739	36207348	36213724
0	1082	1	0	42	33	22	832	0	3980966	0	0	3983172	3986011	27427710	27433843	27433966	27434060	27434060	27434305	31177416	31188191	34936698	36130821	36202739	36207348	36213733
0	1083	1	0	43	33	22	832	0	3998621	0	0	3999691	4002054	27435416	27440678	27440800	27440892	27440893	27441132	31177416	31188191	34936698	36130821	36202739	36207348	36213742
0	1084	1	0	36	34	23	832	0	4046438	0	0	4047795	4051179	27442242	27447544	27447665	27447761	27447761	27448029	31177416	31188191	34936698	36130821	36202739	36207348	36213752
0	1085	1	0	38	34	23	832	0	4077004	0	0	4078325	4080896	27449188	27454725	27454844	27454950	27454950	27455216	31177416	31188191	34936698	36130821	36202739	36207348	36213762
0	1086	1	0	31	34	23	832	0	4095281	31193802	32388592	4097538	4100524	27456396	27461884	27462007	27462104	27462104	27462444	31177416	31188191	0	0	0	0	36213772
0	1087	1	0	32	33	20	832	0	4135608	0	0	4137519	4140636	32421249	32433248	32433431	32433543	32433543	32433793	36224661	36236344	39993296	41189255	41257016	41260592	41266695
0	1088	1	1	35	33	20	832	0	4156707	0	0	4158645	4161707	32435173	32443847	32444019	32444155	32444155	32444409	36224661	36236344	39993296	41189255	41257016	41260592	41266705
0	1089	1	1	33	33	20	832	0	4214888	0	0	4216492	4218875	32445745	32452045	32452242	32452352	32452352	32452599	36224661	36236344	39993296	41189255	41257016	41260592	41266714
0	1090	1	1	34	34	21	832	0	4238514	0	0	4240569	4242877	32453905	32459102	32459247	32459357	32459357	32459639	36224661	36236344	39993296	41189255	41257016	41260592	41266723
0	1091	1	1	33	34	21	832	0	4297432	0	0	4299502	4301742	32461002	32466736	32466892	32467012	32467012	32467301	36224661	36236344	39993296	41189255	41257016	41260592	41266732
0	1092	0	1	30	34	21	832	0	4338799	0	0	4340500	4342979	32468675	32475331	32475482	32475593	32475593	32475882	36224661	36236344	39993296	41189255	41257016	41260592	41266741
0	1093	0	1	30	34	21	832	0	4395410	0	0	4396836	4406134	32477258	32483044	32483197	32483308	32483308	32483595	36224661	36236344	39993296	41189255	41257016	41260592	41266750
0	1094	1	1	29	34	21	832	0	4432100	0	0	4434438	4437903	32484979	32491038	32491172	32491275	32491276	32491524	36224661	36236344	39993296	41189255	41257016	41260592	41266759
